entry_id,headword,morph_type,pronunciation,variant_of,these_vars,note,sense,date,bibliography,other_sources
wao taah_002ca005-1366-4a7b-aff1-ac10db10b768,wao taah,phrase,waʔoʔ ta:h,{},,,['802366cc-fff6-4c35-bff4-a403f4b4130d'],2019-01-14T03:46:55Z,Fieldnotes Epps/Obert; 2018,
dahegʹõõn_0062786c-16c2-4325-b3e4-fac26c159e80,dahegʹõõn,stem,dahegõ̰:n,"{'6d128d41-81a3-471c-9d02-f855e642415a': {'type': '_component-lexeme', 'variant-type': 'Habitual'}}",,{},,2018-03-08T07:17:53Z,SIL Dict 2011,
dabëëh_01834ee1-a032-4bfb-8827-07f2ace9c99f,dabëëh,stem,dabə:h,"{'af5b17b1-8339-44fa-aace-571fa3b52be2': {'type': '_component-lexeme', 'variant-type': 'Causativo'}}",,{},,2018-03-08T07:17:52Z,SIL Dict 2011,
janooh_022d930d-b619-4a77-8ff4-fa5ea30739e8,janooh,stem,jaˈno:h,{},,{},['9e409799-d500-44e1-97b4-66925497edde'],2018-07-07T20:57:29Z,Fieldnotes Epps/Obert; 2018,
p’aa hẽnh_022f0eb2-2301-40e8-809c-927ccebeff3c,p’aa hẽnh,phrase,paʔaʔ hẽɲ,{},"{'pʹaa hẽnh_988a43b7-7d72-4d87-be1d-c63c761e1dc2': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",,['3954f8c6-283b-4e9f-a9b1-5e9ea6096fcc'],2018-07-15T20:18:56Z,Fieldnotes Epps/Obert; 2018,{'Sil Dict 2011': 'pʹaa hẽnh'}
dajëp_024eb574-aa9a-4bea-adc6-12857406c334,dajëp,stem,daˈjǝp˺,{},,{},['a8675526-039d-459c-b4c8-c3434645200d'],2018-07-10T00:09:23Z,Fieldnotes Epps/Obert; 2018,
nʹoo hẽnh_02548d67-7403-4ae6-be8f-4064def13b13,nʹoo hẽnh,phrase,no̰: hɛ̃ɲ,"{'null': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}, 'null_1': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}",,{},['ae56a69b-7017-4a32-a8ea-5f87e4558b57'],2018-03-21T21:43:54Z,SIL Dict 2011,
tawarẽẽh1_025c1d2a-ce6b-4f4a-89c6-58f7995ce55a,tawarẽẽh,stem,tawaˈɾẽ:ʔ,{},,{},['edf56ebd-dec5-40c2-8444-09892cd2d358'],2018-03-08T07:17:53Z,Fieldnotes Epps/Obert; 2018,
h’ëëd_025fec92-6af8-4d61-8544-bdb0e0362545,h’ëëd,stem,hǝʔǝd˺,{},"{'hʹëëd2_9e74513c-440f-4e3d-9106-81f0bcd89d90': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}, 'hʹëëd1_a60368d9-bc6d-49b9-aeef-eaa8980142fa': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{},['82d7231c-5f51-4860-90b3-f2da90deba51'],2018-07-11T00:00:38Z,Fiednotes Epps/Obert; 2018,{'Sil Dict 2011': 'hʹëëd'}
atsóm_02a79639-e72e-482a-98fe-e2a3e76d3f81,atsóm,stem,ʔaˈɉ’ɔbm,{},,{},['4bcb3e10-ba0a-4e58-8984-5b1a542a42f6'],2018-07-10T23:19:31Z,Fieldnotes Epps/Obert; 2018,
jeer2_02adeefa-c0e5-4849-95e7-63f3e5494313,jeer,stem,je:ɾᵊ,{},,,['fd9458ea-4516-48d8-9157-9c632b036e29'],2019-01-14T03:46:55Z,Fieldnotes Epps/Obert; 2018,
keroo_0309e768-1308-4e05-955c-92fa27bdc0b1,keroo,stem,,{},,{},['1813965a-b95a-4afb-8608-7bea9a3fbed4'],2018-07-27T20:28:41Z,Fieldnotes Epps/Obert; 2018,
naëng_031a7339-0644-4618-af27-88f71d6565db,naëng,stem,naˈʔǝgŋ,{},"{'naʔəŋ1_6a936ca2-4b81-4ef8-9523-96493e28028f': {'type': '_component-lexeme', 'variant-type': 'Barbosa', 'summary': 'água'}, 'naʔəŋ2_53d64a2f-8e76-45e0-912f-3064e781e9fa': {'type': '_component-lexeme', 'variant-type': 'Barbosa'}}",{},"['160c0f30-fdd5-45bb-9b4d-12f03592f4ea', 'da503054-2051-4953-ab79-1f3b7bef531f']",2018-03-08T07:17:53Z,SIL 2011; Fieldnotes Epps/Obert; 2018,{'Barbosa': 'naʔəŋ'}
gajʹeej_0370d9a3-7912-458c-bb70-6097fb5de782,gajʹeej,stem,gajḛ:j,"{'f7801daa-0d39-48f9-9f63-f852c4125e16': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{},,2018-03-08T07:17:53Z,SIL Dict 2011,
ahong_037fbb9c-c845-4e3d-9bc3-fe8bbf7c2a5f,ahong,stem,ahoŋ,"{'ahõng_5eceaf57-d989-4dc1-9a1f-72045734eeed': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}",,{},,2018-03-22T23:19:58Z,SIL Dict 2011,
kawa_0431db34-f253-491d-bb2e-bcb885fdcd8d,kawa,stem,kaˈwaʔ,{},,{},['baa0255c-d216-40c6-9314-c2b8ae598c65'],2018-07-09T13:45:32Z,Fieldnotes Epps/Obert; 2018,
noo keham_0456f9ea-7465-48e4-9c8e-0237e472be1c,noo keham,phrase,nɔ̃:keʔˈhabm,{},,{},['67813880-b0ef-4e72-8cc0-55dda9bf5e6f'],2018-07-10T23:43:22Z,Fieldnotes Epps/Obert; 2018,
asooh_045c762b-0b2e-4233-a013-7e921270d050,asooh,stem,ʔaˈʃo:h,{},"{'sooh_e9c38f60-21ca-4df6-98bc-73b6d002930b': {'type': '_component-lexeme', 'variant-type': 'Weir'}}",{},['49d89e7e-ca3b-4eaf-970c-5112be5fc622'],2018-03-08T07:17:53Z,Fieldnotes Epps/Obert; 2018,{'Weir': 'sooh'}
ety_047db998-72df-46aa-a083-13e0b004ec6c,ety,stem,etɨ,"{'9eb8fb8f-3e49-45aa-a76c-8512171d60e7': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{},,2018-03-08T07:17:52Z,SIL Dict 2011,
sét hẽ_04d14da4-0773-43e5-be7b-25fe3fe7100c,sét hẽ,phrase,ʃɛt hẽʔ,"{'null': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}",,{},['b76b93ca-1032-4a40-9a95-1031ce3ca8d9'],2018-07-07T17:53:45Z,Fieldnotes Epps/Obert; 2018,
kasarõ_04f383e2-28e7-4ca8-8903-46ecb268dcec,kasarõ,stem,kaʃaɾõ,"{'32a368a7-d87b-441c-bc01-f27a308a8b1a': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{},,2018-03-08T07:17:53Z,SIL Dict 2011,
mahõg_05dd3abd-6534-4b59-b015-78d391e1d399,mahõg,stem,mahõg,"{'449e256e-85a4-465c-bcf3-571d63f37366': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{},,2018-03-08T07:17:53Z,SIL Dict 2011,
madiːk1_060565fa-0504-425e-9477-40abe427e5e6,madiːk,stem,,"{'27196443-08b4-4e3b-82e9-14987c24f524': {'type': '_component-lexeme', 'variant-type': 'Spelling Variant', 'summary': 'Barbosa 2005; açaí'}}",,,,2018-06-20T05:09:53Z,Barbosa,
karapee _0608a430-217f-4595-8307-b236eef0ae5b,karapee,stem,kaɾaˈpe:ʔ,{},"{'karepé_7c800678-ce5e-401e-abba-a2b95fbbf65c': {'type': '_component-lexeme', 'variant-type': 'Plural'}}",{},['ec6b2a91-b8ab-44f3-8200-648010fa9137'],2018-03-08T07:17:53Z,SIL 2011; Fieldnotes Epps/Obert; 2018,
ehãw_0631abaa-832b-4f9c-a680-67323f0bec57,ehãw,stem,ehãw,"{'524de672-cfcd-498f-ad8a-ff63f63e40a6': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{},,2018-03-08T07:17:53Z,SIL Dict 2011,
baad_068ae71c-c922-438c-9569-dad5b2122f74,baad,stem,ba:d˺,{},,{},['783a338a-818d-4a66-9784-aae54e3af35a'],2018-03-08T07:17:53Z,Fieldnotes Epps/Obert; 2018,
taats_06fa1be1-fd07-4e5b-8efb-4684de883e8e,taats,stem,ta:ɟ̚,{},,,['0bcbba71-1078-42e3-b6dc-dc251e2d8e8e'],2019-01-14T03:46:55Z,Fieldnotes Epps/Obert; 2018,
asʹëëg_071fd2b5-c8ec-405b-a840-71a0419d0870,asʹëëg,stem,aʃə̰:g,"{'1681b58c-d028-4b6c-af21-833f4abef2ce': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{},,2018-03-08T07:17:53Z,SIL Dict 2011,
kakoos yb_07832269-7792-4503-a931-31d64643cc9a,kakoos yb,phrase,kako:ʃ ʔɨb̚,{},,,['4b406dde-abeb-45c4-be61-d326a330ea83'],2019-01-14T03:46:55Z,Fieldnotes Epps/Obert; 2018,
gewʹõõw_07c262a4-e950-44ab-ba8d-5b209013a2ee,gewʹõõw,stem,gewõ̰:w,"{'gewõõm_2e184b1f-4cc5-4e46-ae1e-f9ec715f3722': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{},,2018-03-27T02:37:10Z,SIL Dict 2011,
pewóp hẽ_083be29b-071a-45ec-bd6b-c4935e1ae87b,pewóp hẽ,phrase,peʔˈwɔp˺,{},,{},['7fbd2f47-c78c-4fd7-9aa5-89ad13550e63'],2018-07-08T18:25:37Z,Fieldnotes Epps/ Obert; 2018,
kawad puuw (tëëg)_083ca43d-56d8-4a51-98c4-4109ef14938b,kawad puuw (tëëg),phrase,kawad̚ pu:w  tə:g̚,{},,,['c72b8439-5d2b-4279-bda9-8034d3430c1b'],2019-01-14T03:46:55Z,Fieldnotes Epps/Obert; 2018,
dakä_088d21b3-b72e-422c-baab-2a35b7838500,dakä,stem,dakʌ,"{'339a2390-193b-4e46-b7d9-76429e5bf07d': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{},,2018-03-08T07:17:52Z,SIL Dict 2011,
häd_090789e5-38eb-49f0-9832-3449ab6f71a9,häd,stem,hʌd˺,{},,{},['28976492-decb-410a-aac6-75cd5b7073ae'],2018-07-07T17:36:29Z,Fieldnotes Epps/Obert; 2018,
gor’ëëj_09bf004c-752a-4c01-9273-5fad683b954e,gor’ëëj,stem,,{},,{},['71701844-6504-4d95-853e-158eb0eb8caa'],2018-07-27T20:22:56Z,Fieldnotes Epps/Obert; 2018,
madyyk_09e54f3c-410b-415c-8850-75ea270e4552,madyyk,stem,maˈdɨ:k˺,{},"{'madɯːk_a79dbe05-2ba9-47a7-8e82-412e1dcbc089': {'type': '_component-lexeme', 'variant-type': 'Martins'}, 'madiːk2_33d37501-2096-43ca-8bdd-cfcc695acd7c': {'type': '_component-lexeme', 'variant-type': 'Barbosa'}}",{},['9b92b2cb-bb24-4ffd-bb03-3b21acf80bd0'],2018-03-08T07:17:53Z,Fieldnotes Epps/Obert; 2018,"{'Martins': 'madɯːk', 'Barbosa': 'madiːk'}"
aeeh_09e8dc25-0156-4bd0-991f-71b4cf82372a,aeeh,stem,ae:h,"{'e24b937d-f986-4e73-a3bd-5b6b59a0a01a': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{},,2018-03-08T07:17:52Z,SIL Dict 2011,
kasug_0a6b31fb-6433-4d7b-b051-c162f4767c39,kasug,stem,kaʃug,"{'cb9fef40-4b1b-4ca3-b48f-062d545d3841': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{},,2018-03-08T07:17:53Z,SIL Dict 2011,
edón_0a6e9703-c45e-4f5e-a9ca-9cce168f7c6e,edón,stem,edɔn,"{'5fdb3b75-6a14-4dcc-a9ec-2ce227b9a1bf': {'type': '_component-lexeme', 'variant-type': 'Habitual'}}",,{},,2018-03-08T07:17:53Z,SIL Dict 2011,
esaag_0ac768b9-0933-4a11-90c0-4ac17d1e66f4,esaag,stem,eʃa:g,"{'9efb0410-2dd1-424f-b9d1-3dadf8a8aa9f': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{},,2018-03-08T07:17:52Z,SIL Dict 2011,
majyyw_0acd6e09-f726-4b4d-986e-4b28969150e2,majyyw,stem,maˈjɨ:w,{},,{},['36e6dd1e-e554-49e0-9e40-7164c8216f21'],2018-07-04T13:22:00Z,Fieldnotes Epps/Obert. 2018,
manee1_0b01b419-7b9e-43f1-8118-21aa51edd0b7,manee,root,mãnẽ:ʔ,{},,{},['ccb1c736-e479-487d-aa05-d74fb2f3f1cc'],2018-09-04T00:04:27Z,Fieldnotes Epps/Obert; 2018z,
jag tyd_0b168580-4c78-470b-b8cc-9e258c254748,jag tyd,phrase,jag̚ tɨd̚,{},,,['6d7a0e30-f14e-4502-be6f-a87ec5630571'],2019-01-14T03:46:55Z,Fieldnotes Epps/Obert; 2018,
karejã däk_0b44949c-3fa9-411c-8692-741072299109,karejã däk,phrase,kareʔˈjã dǝk˺,{},,{},['5e00ef76-a98a-4519-b41f-43937d925e04'],2018-07-07T18:28:24Z,Fieldnotes Epps/Obert; 2018,
wareem_0bb01848-edbd-4404-9b11-155bb61f0429,wareem,stem,waˈɾe:bm,{},,{},['09b33e05-02c4-48be-a02b-c4ecfe355f80'],2018-07-10T23:34:43Z,Fieldnotes Epps/Obert; 2018,
rewyyh_0bb5289a-e3dd-4da6-8555-1cffdff4c04a,rewyyh,stem,,{},,{'Note': 'investigate semantics'},['7de79006-a9ce-4bea-bb15-623d300d394e'],2018-07-10T12:24:16Z,Fieldnotes Epps/Obert; 2018,
karẽn2_0bb585b4-9790-479e-b323-e5503770401b,karẽn,stem,kaɾɛ̃n,"{'5db5f38b-08f4-4885-acdf-68dfb87f8352': {'type': '_component-lexeme', 'variant-type': 'Plural'}}",,{},,2018-03-08T07:17:53Z,SIL Dict 2011,
hood t’ëe_0cacc161-ee56-462a-8da8-c01ad97228a4,hood t’ëe,phrase,,{},,{},['38ba27d4-a60a-4277-96c5-3949aff74510'],2018-07-27T22:52:15Z,Fieldnotes Epps/Obert; 2018,
jook2_0d9688b1-2ebf-46c8-b27e-708483cdaf63,jook,stem,jo:k̚,{},,,['1f5e557a-ed3c-4d43-adca-28b5e5468ab9'],2019-01-14T03:46:56Z,Fieldnotes Epps/Obert; 2018,
gurii-i_0db187a9-b6e9-4c88-939c-48697a72aa4b,gurii-i,stem,,{},,{},['3c1dd3c6-40e8-45b7-94ad-9bcad18ab8e8'],2018-07-27T20:32:18Z,Fieldnotes Epps/Obert; 2018,
karawyynh_0e539cb5-a78b-455b-87f2-4fde1344448a,karawyynh,root,,{},,{},['c8087b0a-6d12-4c1a-8fa8-ad6bc18e9a88'],2018-09-04T00:11:17Z,Fieldnotes Epps/Obert; 2018,
toog2_0f2dbd4f-1cba-4a76-b278-c720efdc0c0f,toog,stem,to:g̚,{},"{'toog1_fc56d0a8-16ea-459f-9fff-c846b615c3e0': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",,['09da2923-e6d9-40fd-be0d-ddc17b8f36fe'],2019-01-14T03:46:56Z,Fieldnotes Epps/Obert; 2018,{'Sil Dict 2011': 'toog'}
jahuːn2_0f3e0747-ec4b-4392-bcca-3709a8cade15,jahuːn,stem,,"{'102ca3d3-aa4b-4aef-92c5-a1dba5a1f1f4': {'type': '_component-lexeme', 'variant-type': 'Spelling Variant', 'summary': 'Barbosa 2005; tamanduá bandeira'}}",,,,2018-06-20T05:09:53Z,Barbosa,
barots_0fd1f641-6e7a-4918-b8d4-849ef14f2105,barots,stem,baɾoɟ,"{'8e4c82e7-7bad-4968-96c6-675114c274a2': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{},,2018-03-08T07:17:53Z,SIL Dict 2011,
esog_0ff17dda-0edb-4fab-8d80-c392c7dffd46,esog,stem,eʃog,"{'bec9b566-b890-407f-a113-e55415975597': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{},,2018-03-08T07:17:52Z,SIL Dict 2011,
hebyng_10ea8764-3f35-4c12-b0fa-45c072085373,hebyng,stem,heʔˈbɨgŋ,{},,{},['a55cb9af-ae77-4d37-be9b-21ca0a24233d'],2018-07-07T20:59:34Z,Fieldnotes Epps/Obert; 2018,
ʔãːɲ1_11011f18-2e56-4f47-9a70-615f7235c757,ʔãːɲ,stem,,"{'a0f42428-da5b-4d80-914a-65bf9d2d14f0': {'type': '_component-lexeme', 'variant-type': 'Spelling Variant', 'summary': 'Barbosa 2005; irmã'}}",,,,2018-06-20T05:09:53Z,Barbosa,
kas’aag_1174c294-d1e6-4e74-8fae-7bf655663f34,kas’aag,stem,kaˈʃaʔag˺,{},,{},['73f727e6-1c00-46d4-b551-16b7d12a7c7c'],2018-07-27T20:03:46Z,Fieldnotes Epps/Obert; 2018,
po̰ːp1_1182e1e7-7fef-49b6-bd48-861b4aa4f92c,po̰ːp,stem,,"{'92a34bd9-4de3-49ff-83f0-1371c7533ac8': {'type': '_component-lexeme', 'variant-type': 'Spelling Variant', 'summary': 'Barbosa 2005; no alto'}}",,,,2018-06-20T05:09:53Z,Barbosa,
jawëk_11b99d8c-9b68-4e6b-869d-e3530425e72b,jawëk,root,jaˈwǝk˺,{},,{},['3c8e5517-d5a2-45e6-8a6c-a4a5b6a3086a'],2018-09-04T00:12:46Z,Fieldnotes Epps/Obert; 2018,
kajäg_123e22bd-d7b9-474e-bdc6-12aa684847c8,kajäg,stem,kajʌg,"{'51108a9e-cc11-4cfa-a735-744da668a4aa': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{},,2018-03-08T07:17:53Z,SIL Dict 2011,
hoːɲ_12c41686-e869-484c-9271-c446bb344e90,hoːɲ,stem,,"{'31005f5c-fc42-4d7e-bfc2-ce2205c6c02a': {'type': '_component-lexeme', 'variant-type': 'Spelling Variant', 'summary': 'Martins 2005; avó'}}",,,,2018-06-20T05:09:54Z,Martins,
kä_12d603c5-ea9b-450b-a27c-e4cbb8b6a5ff,kä,stem,kʌ,"{'0756186b-78d9-4f08-8487-28a5761781e9': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{},,2018-03-08T07:17:53Z,SIL Dict 2011,
atʹëëg_134f1576-46ff-42aa-b2a7-0331f238570a,atʹëëg,stem,atə̰:g,"{'1d032139-a1cb-4d8f-ae92-69319e340357': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{},,2018-03-08T07:17:53Z,SIL Dict 2011,
wawët_135af2d2-bd6b-445c-a1ed-837cb137c40d,wawët,stem,,{},,{},['514fe7a9-a793-47a1-a7ee-0d2b60c0c376'],2018-07-27T20:47:32Z,Fieldnotes Epps/Obert; 2018,
ahʹỹỹh_135b490e-7cf7-4eff-8dca-45dfe71ddf22,ahʹỹỹh,stem,ahɨ̰̃:h,"{'ahỹỹh_f733ec49-2377-44b4-8f60-a93e6a22ff4e': {'type': '_component-lexeme', 'variant-type': ('Não indicativo', 'Plural')}}",,{},,2018-03-23T16:10:06Z,SIL Dict 2011,
ëër_139ca9bb-450f-4124-8497-3fa5f304fa62,ëër,stem,ʔǝǝɾǝ,{},,{},['2ead3007-e5a6-45a3-bafa-401642bb2ba8'],2018-07-10T23:50:09Z,Fieldnotes Epps/Obert; 2018,
adäk2_13ad5580-ea3b-40e8-8104-6231cb60a98d,adäk,stem,adʌk,"{'996be76d-d27f-4c52-972f-368f85e36642': {'type': '_component-lexeme', 'variant-type': 'Singular'}}",,{},,2018-03-08T07:17:53Z,SIL Dict 2011,
masug_14f4dbd3-bbac-4f9e-b5f5-3da0f0b5daa1,masug,stem,maˈʃug˺,{},,{},['869ac389-45ec-4ea1-bd54-bac70424c73b'],2018-07-08T17:09:18Z,Fieldnotes Epps/Obert; 2018,
tamaboh_15731cab-2b16-4be8-829d-ec886877724d,tamaboh,stem,tabmãboh,{},,,['505d0581-c996-409b-99cd-59a5fbf20d3d'],2019-01-14T03:46:55Z,Fieldnotes Epps/Obert; 2018,
harum_15ce4d3f-c20c-4b98-ac5e-19c13eada4af,harum,stem,haɾubm,{},"{'haɾum_89301e28-b653-49bf-bcdd-fac7eb6414e6': {'type': '_component-lexeme', 'variant-type': 'Martins'}, 'haɾũm2_e7c19295-e5b4-4fbe-afa0-407f81dde475': {'type': '_component-lexeme', 'variant-type': 'Barbosa'}}",,['74a76c65-88dd-4672-be6c-418ece822d56'],2019-01-14T03:46:55Z,Fieldnotes Epps/Obert; 2018,"{'Martins': 'haɾum', 'Barbosa': 'haɾũm'}"
esëëm_16100f6e-6631-4c79-a44b-51edf7117834,esëëm,stem,eʃə:m,"{'ba794672-8472-4124-b5f7-1edbb9cff671': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{},,2018-03-08T07:17:53Z,SIL Dict 2011,
etsoos_16359e87-c88a-48ca-b5dd-a04ea7d5f6cd,etsoos,stem,ʔeˈɉ’o:ʃ,{},,{},['9cefa735-d18d-434b-bde0-61102d140d37'],2018-07-10T23:07:33Z,Fieldnotes Epps/Obert; 2018,
tabʹëës_165c7249-49ef-4561-ad26-55ac9174f93b,tabʹëës,stem,tabə̰:ʃ,"{'570e5c28-f344-441a-93a2-fa6f7607504f': {'type': '_component-lexeme', 'variant-type': 'Plural'}}",,{},,2018-03-08T07:17:53Z,SIL Dict 2011,
merʹood_1662b162-c4ec-4d14-b1cf-05095739c61b,merʹood,stem,eɾo̰:d,"{'4fa64b65-6c56-41ec-8d5b-fc6912a436ac': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{},,2018-03-08T07:17:53Z,SIL Dict 2011,
ajëk2_16710a4a-9594-4632-8d8d-d7a48a08c7a6,ajëk,stem,ajək,"{'fd12d6b3-c50b-4663-b9a9-2ee906245573': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{},,2018-03-08T07:17:53Z,SIL Dict 2011,
mawããd1_1684f868-710c-423f-9f25-9473565c77bb,mawããd,stem,mawããd,{},,{},['49875121-3e4e-4cd8-a4b4-4c61dcf5e10b'],2018-09-03T23:37:53Z,Fieldnotes Epps/Obert; 2018,
baju_16b9f9ed-0cb5-4df0-b170-cdea3e4efea7,baju,stem,baˈjuʔ,{},,{},['5f3a89d8-db19-4cc0-9e59-a02da258eaf4'],2018-07-27T20:14:26Z,Fieldnotes Epps/Obert; 2018,
awän_16edbafa-9f23-4587-bd92-330bd1726f90,awän,stem,ʔaˈwʌdn,{},"{'awʌn_bdb900a7-eb03-4db1-bcc3-312f4043d469': {'type': '_component-lexeme', 'variant-type': 'Martins'}}",{},['b9e2ce71-7e64-4bc5-a0f2-5a4e97d81265'],2018-07-27T20:07:05Z,Fieldnotes Epps/Obert; 2018,{'Martins': 'awʌn'}
kuuj_1710cfae-688c-49b3-b91d-501a96216d9d,kuuj,stem,ku:j,{},,,['3334af6d-577c-4a6e-8ecb-f2deabfb87d8'],2019-01-14T03:46:55Z,Fieldnotes Epps/Obert; 2018,
besas_171ab6eb-239d-4ecb-86b6-7cdc05273f4d,besas,stem,beʔˈʃaʃ],{},,{},['818c8b67-4e64-40c2-a043-455c37dd89e1'],2018-07-07T18:30:07Z,Fieldnotes Epps/Obert; 2018,
gadaa_17659126-2402-4a4a-bc5a-71c1e9e0734f,gadaa,stem,gada:,"{'a8001b80-aea8-4a40-af26-d4a9e704890f': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{},,2018-03-08T07:17:52Z,SIL Dict 2011,
aw&apos;ëë_17f873bb-0102-4908-bf53-10dcf9a80e4c,aw'ëë,stem,awə̰:,"{'awëh_ad9e6c80-0862-401d-9958-6bba1d783910': {'type': '_component-lexeme', 'variant-type': 'Plural'}}",,{},,2018-03-22T16:44:40Z,SIL Dict 2011,
etsʹëëk_1975647d-1f5d-470e-93b1-509b4f0e1773,etsʹëëk,stem,ʔeˈɉ’ǝʔǝk˺,{},,{},['c987cc54-829f-4cd0-a31f-7adf3b7383cb'],2018-03-08T07:17:53Z,Fieldnotes Epps/Obert; 2018,
[ji] wahëë_1a55a25e-11fb-4fd6-acf0-565fecd058a8,ji wahëë,phrase,jiʔ  wahə:ʔ,{},"{'wahɤ̰ːh_ce80171b-4d63-4f72-9f46-5068f63719ab': {'type': '_component-lexeme', 'variant-type': 'Martins'}}",,['dd96ef39-6955-46ff-9a0c-cd2e3915751e'],2019-01-14T03:46:55Z,Fieldnotes Epps/Obert; 2018,{'Martins': 'wahɤ̰ːh'}
kawahed_1a647402-4fd7-4f16-8bad-34b44a6e41fa,kawahed,stem,kawahed,{},,{},['e54b181c-9272-4054-96a3-d187d22e3133'],2018-03-08T07:17:53Z,Fieldnotes Epps/Obert; 2018,
jood_1a844f70-b0d5-4165-b568-d695b8a70f0a,jood,stem,jo:d˺,{},,{},['e7ebf375-f74f-4014-8dda-2500f242b2c4'],2018-07-27T23:03:29Z,Fieldnotes Epps/Obert; 2018,
tɔ̰̃ːp1_1b10b3b5-155e-44cc-916b-7278638746c8,tɔ̰̃ːp,stem,,"{'cf6d4de6-25d4-4745-9df7-8b8c3259055f': {'type': '_component-lexeme', 'variant-type': 'Spelling Variant', 'summary': 'Barbosa 2005; no fundo (do rio)'}}",,,,2018-06-20T05:09:53Z,Barbosa,
ji waa hood2_1bb106d4-3ce7-43b8-97e9-d12322848388,ji waa hood,phrase,jiʔ wa:ʔ ho:d̚,{},,,['f3a70c40-7c7d-4b86-9b69-e929a8077078'],2019-01-14T03:46:55Z,Fieldnotes Epps/Obert; 2018,
tarapoo_1bbe350a-6922-4fb5-b0e4-84e752d72ded,tarapoo,root,taɾaˈpo:,{},,{},['62b8ed0f-48aa-4a8a-a1c8-3f7ac323e420'],2018-09-04T00:20:09Z,Fieldnotes Epps/Obert; 2018,
baah_1bbf905d-bed6-4e38-82d9-a99ca6472ddc,baah,stem,ba:h,"{'7644a77e-3284-4770-98db-81984eed5c1c': {'type': '_component-lexeme', 'variant-type': 'Plural'}}",,{},,2018-03-08T07:17:52Z,SIL Dict 2011,
janati1_1bd7a005-8171-46fd-a65d-69898076947f,janati,root,janaˈtiʔ,{},,{},['f607def6-b1c8-48ba-b317-5b53c0c63def'],2018-09-03T23:46:33Z,Fieldnotes Epps/Obert; 2018,
gasoom2_1c16d365-be77-4968-953b-7db5ca036d79,gasoom,stem,k'aʃo:bm,{},,,['f6dfd01c-5879-4c4c-9632-14981c14bdb8'],2019-01-14T03:46:56Z,Fieldnotes Epps/Obert; 2018,
gawajah_1c43c5f6-18af-437e-90c9-8506069bb3d1,gawajah,stem,gawajah,"{'a2fb14ca-83eb-4758-b022-40299430c92a': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{},,2018-03-08T07:17:53Z,SIL Dict 2011,
maseer1_1c4c09ee-329b-4f14-9e81-3d040511871d,maseer,stem,maˈʃe:ɾǝ,{},,{},['fb5814dc-f021-4a7b-9d1d-f915783599a7'],2018-03-08T07:17:53Z,Fieldnotes Epps/Obert; 2018,
naam_1c6836f3-ad20-47d5-bcce-190b8102d9ed,naam,stem,nã:m,{},,{},['836ad4c9-a6c7-4f78-a151-73df4f95dc80'],2018-07-07T14:50:11Z,Fieldnotes Epps/Obert; 2018,
kawaar_1caf872b-78e3-4ad8-a6f2-fbba04c0f76b,kawaar,stem,kawa:ɾᵊ,{},,,['1d62e6b1-ad58-4a66-96a1-42b8b5d662e0'],2019-01-14T03:46:55Z,Fieldnotes Epps/Obert; 2018,
dawëës_1caff4ef-befb-494d-8908-4f41cc5f4d0d,dawëës,stem,daˈwǝ:ʃ,{},,{},['34330419-dc42-43bc-ab6b-d5dc2d38c9f4'],2018-07-10T23:24:06Z,Fieldnotes Epps/Obert; 2018,
