form,match_form,def,match_def,status,entry_id,match_id
mooh,wooh,hand;mão,?;sapo.da.noite,ignore,mooh1_f3b52f1a-d90c-47a3-a82e-0f14c1209ae3,wooh_26bc7f23-fb0b-4d30-93e4-da9a7933066d
dõn,dɔ:n,hummingbird.big;beija.flor.grande,sup.with.finger,ignore,dõn_f8aa9537-e5b1-447e-b490-141ff2218678,dɔ:n_0872e55d-b5b9-4180-a82adb40318848d6
dõn,tón,hummingbird.big;beija.flor.grande,hold.in.hand,ignore,dõn_f8aa9537-e5b1-447e-b490-141ff2218678,tón1_a00d1bb1-25e3-4c3d-953c-57dd3b546cd4
hũũt,hũ:t,tobaco;tabaco,derreter (n.i. huːd),ignore,hũũt_fcbc9a08-ecac-4e11-b568-cad430854b14,hũ:t_ccfd21a0-acc5-4821-95f9e6b5b9d5570e
j'ooh,jɔh,gen.affine,zagaia,ignore,j&apos;ooh_ff2984bb-c88c-4390-b49c-de234bf22ec5,jɔh_56c233ea-acd0-4bcb-8ae9a58efc146d9c
j'ooh,jṵ:,gen.affine,espécie de árvore,ignore,j&apos;ooh_ff2984bb-c88c-4390-b49c-de234bf22ec5,jṵ:_eef40a70-5ad0-4fc4-bc3411960085d1f4
na,na̰:,me.da,na.qual.de,ignore,na_0126d0ce-96ed-408a-bd2866f3a4628410,na̰:_1d906551-ab54-4157-8e621fd969e9a668
na,nʌ,me.da,ainda,ignore,na_0126d0ce-96ed-408a-bd2866f3a4628410,nʌ_4b7f5948-bdce-4500-aff6a4162c201a27
na,na,me.da,NEG;NEG,ignore,na_0126d0ce-96ed-408a-bd2866f3a4628410,na_502c638d-8616-4812-b9667966da16815c
na,na,me.da,come n.i.,ignore,na_0126d0ce-96ed-408a-bd2866f3a4628410,na_fa915d92-ea88-4f0a-9cedef2f7a30fe8e
na,nä,me.da,ainda,ignore,na_0126d0ce-96ed-408a-bd2866f3a4628410,nä1_4b7f5948-bdce-4500-aff6-a4162c201a26
jʌ̃g,jəŋ,esmagar; forma marcada,sapo.sp,ignore,jʌ̃g_01bb2edb-ff6e-420e-894a77ac8c58ea1b,jəŋ_df0ab2f6-c78d-4ce7-b9409f522b137faa
habə,hamʌh,espantar,vamos,ignore,habə_021ba618-79ea-4d99-8a2330e1b5b60c41,hamʌh_611ef3be-8c5e-49a9-94c9f1121405e644
ema:n,ewə:n,peneirar,correr.atrás,ignore,ema:n_03582b22-b335-4af8-8c232043541e28f9,ewə:n_cf2ba2cf-1b12-4871-8529c04cfe09aa60
